id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
bZ7lvi5_BQ6UKK10OKPV7Q,sushi-taku-chicago-2,Sushi Taku,https://s3-media2.fl.yelpcdn.com/bphoto/R0BYumSz9-z1egLYH6Wdbw/o.jpg,False,https://www.yelp.com/biz/sushi-taku-chicago-2?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,1099,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 41.90340202167879, 'longitude': -87.67511680088914}","['pickup', 'delivery']",$$,"{'address1': '1904 W Division St', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1904 W Division St', 'Chicago, IL 60622']}",+17732528258,(773) 252-8258,293.6093219397592
qJuQGyHSy5OuAkyMwb2_xA,nomonomo-sushi-chicago,Nomonomo Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/AOv8r0ubyvtLi8i09z8_BQ/o.jpg,False,https://www.yelp.com/biz/nomonomo-sushi-chicago?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,9,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",5.0,"{'latitude': 41.919200000000004, 'longitude': -87.69182}",[],,"{'address1': '2096 N Milwaukee Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2096 N Milwaukee Ave', 'Chicago, IL 60647']}",,,1948.8751192001325
q7SQnw2xVHjWuyQXL3VHUg,kai-zan-chicago,KAI ZAN,https://s3-media4.fl.yelpcdn.com/bphoto/G78K7DIhTrH0N1TXS32MMQ/o.jpg,False,https://www.yelp.com/biz/kai-zan-chicago?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,1245,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 41.895505137499796, 'longitude': -87.6915407180786}","['restaurant_reservation', 'delivery']",$$$,"{'address1': '2557 W Chicago Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['2557 W Chicago Ave', 'Chicago, IL 60622']}",+17732785776,(773) 278-5776,1565.9738189879604
-gt8O2X5JO9Bx64GPxgkBA,komorebi-sushi-chicago,Komorebi Sushi,https://s3-media4.fl.yelpcdn.com/bphoto/lYrBIA_kVtXuIy3hnxpBsw/o.jpg,False,https://www.yelp.com/biz/komorebi-sushi-chicago?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,296,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 41.90558, 'longitude': -87.67037}","['pickup', 'delivery']",$$,"{'address1': '1324 N Milwaukee Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1324 N Milwaukee Ave', 'Chicago, IL 60622']}",+17736611243,(773) 661-1243,620.1819535725696
0QrwY9-LhKlFkVdow3y8sw,nuki-sushi-restaurant-chicago,Nuki Sushi Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/RnsxodKi_Rza-BnsDZ_qnw/o.jpg,False,https://www.yelp.com/biz/nuki-sushi-restaurant-chicago?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,37,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",5.0,"{'latitude': 41.891246, 'longitude': -87.6626}","['pickup', 'delivery']",,"{'address1': '1406 West Grand Ave', 'address2': 'Ste 1', 'address3': '', 'city': 'Chicago', 'zip_code': '60642', 'country': 'US', 'state': 'IL', 'display_address': ['1406 West Grand Ave', 'Ste 1', 'Chicago, IL 60642']}",+17735011999,(773) 501-1999,1993.0065523621658
_d5Br6nZWpBNwL-4isroJA,yuzu-sushi-and-robata-grill-chicago,Yuzu Sushi & Robata Grill,https://s3-media1.fl.yelpcdn.com/bphoto/qLdJlyTYaUWtlEBftTHWqg/o.jpg,False,https://www.yelp.com/biz/yuzu-sushi-and-robata-grill-chicago?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,1883,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 41.89569, 'longitude': -87.67172}","['pickup', 'delivery']",$$,"{'address1': '1751 W Chicago Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1751 W Chicago Ave', 'Chicago, IL 60622']}",+13126664100,(312) 666-4100,1154.6192375859011
ORmcMLOKq9XPLmPGxIyABg,kyoku-sushi-chicago,Kyoku Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/_OABYIOBznlV9J1n_MyFmA/o.jpg,False,https://www.yelp.com/biz/kyoku-sushi-chicago?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,77,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 41.92746, 'longitude': -87.65206}",[],,"{'address1': '2518 N Lincoln Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60614', 'country': 'US', 'state': 'IL', 'display_address': ['2518 N Lincoln Ave', 'Chicago, IL 60614']}",+17736974243,(773) 697-4243,3278.1556189290295
mtjJUQN_KaBPG26nlPXzUg,raiz-kitchen-sushi-bar-chicago,Raiz Kitchen Sushi Bar,https://s3-media3.fl.yelpcdn.com/bphoto/VQ9gNzQEFYP2qC_Q1x0c_Q/o.jpg,False,https://www.yelp.com/biz/raiz-kitchen-sushi-bar-chicago?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,108,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'newamerican', 'title': 'New American'}]",4.5,"{'latitude': 41.924935, 'longitude': -87.710448}","['pickup', 'delivery']",,"{'address1': '3276 W Fullerton Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['3276 W Fullerton Ave', 'Chicago, IL 60647']}",+17734896262,(773) 489-6262,3478.870076650796
87bmC0ZQ3pVU-wxRGtRkkQ,sushi-plus-rotary-sushi-bar-chinatown-chicago,Sushi Plus Rotary Sushi Bar - Chinatown,https://s3-media4.fl.yelpcdn.com/bphoto/YNVWBbFI3fIKMyqbYA9UiA/o.jpg,False,https://www.yelp.com/biz/sushi-plus-rotary-sushi-bar-chinatown-chicago?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,420,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}]",4.5,"{'latitude': 41.853511, 'longitude': -87.632959}",['pickup'],$$,"{'address1': '2131 S Archer Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60616', 'country': 'US', 'state': 'IL', 'display_address': ['2131 S Archer Ave', 'Chicago, IL 60616']}",+13129292446,(312) 929-2446,6835.410307196334
RHg0bWa8GMc5545DjylQkg,haru-sushi-chicago,Haru Sushi,https://s3-media1.fl.yelpcdn.com/bphoto/xRGuymKrDBMRpyLJlmGq_g/o.jpg,False,https://www.yelp.com/biz/haru-sushi-chicago?adjust_creative=e8rBV-hfcPScCMjwOETgGg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=e8rBV-hfcPScCMjwOETgGg,27,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 41.91720523053412, 'longitude': -87.71052319072946}","['pickup', 'delivery']",,"{'address1': '3301 W Armitage Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['3301 W Armitage Ave', 'Chicago, IL 60647']}",+17736619494,(773) 661-9494,3023.5944472858305
